Date,K,Bisection,Secant,Newton,MP,BSM
0.07,1005,0.46691122436523436,0.4669504213228789,0.4669505126976805,0.65,0.6496216320283708
0.07,1010,0.4743567687988281,0.47432118098187964,0.4743212874462817,0.65,0.6503379498879127
0.07,1015,0.41979679565429684,,0.4197416977641302,0.225,0.22525151850524416
0.07,1020,0.4888816833496094,0.4888974029178472,0.48889750601823817,0.65,0.6498526185386684
0.07,1025,0.3704853210449218,,0.3704510122488199,0.05,0.05005040671748029
0.07,1030,0.40222042846679684,,0.40218823626520867,0.1,0.10007871143344405
0.07,1035,0.39672781372070315,,0.39669036398436563,0.075,0.07507299789722754
0.07,1040,0.40246454467773435,,0.40250189620625254,0.075,0.07492809430149494
0.07,1045,0.42004091186523435,,0.4200265463291215,0.1,0.10003392287155233
0.07,1050,0.39868074340820314,,0.398626556957529,0.05,0.05007500215193472
0.07,1055,0.40417335815429684,,0.40415442494492,0.05,0.05002590372121696
0.07,1065,0.41515858764648433,,0.415107032639859,0.05,0.050069035679640495
0.07,1070,0.42052914428710936,,0.4205327384997106,0.05,0.04999524054550242
0.07,1075,0.4258997009277344,,0.425925335528223,0.05,0.049966413341645755
0.07,1090,0.4418893127441406,,0.4419089421975602,0.05,0.049975041549190635
0.07,1100,0.45238630981445316,,0.4524071380208353,0.05,0.0499740202439003
0.07,1125,0.47814057006835936,,0.4781246036736347,0.05,0.05001904338846552
0.07,1150,0.5031624816894531,,0.5031245361630108,0.05,0.05004342296401254
0.07,1175,0.5274520446777344,,0.527448890944627,0.05,0.05000347155037521
0.07,1180,0.5322123107910157,,0.5322360896572009,0.05,0.04997402292689168
0.07,1185,0.5369725769042968,,0.5369980762446988,0.05,0.049972345379510674
0.07,1190,0.5417328430175782,,0.5417351304938469,0.05,0.04999753640041393
0.07,1195,0.5464931091308594,,0.5464475269580794,0.05,0.05004876570647987
0.07,1200,0.5511313171386718,,0.5511355351088377,0.05,0.049995520613083544
0.07,1215,0.5650459411621094,,0.5650558511653847,0.05,0.04998968810419435
0.07,1225,0.5742002990722654,,0.5742188446886305,0.05,0.04998095491824173
0.07,1250,0.5967810485839842,,0.5967301828080962,0.05,0.05005065202588277
0.07,1275,0.6187515075683594,,0.6186982885023424,0.05,0.05005145829063329
0.07,1300,0.6058133483886718,,0.6058556787758211,0.025,0.024977018233426018
0.07,1325,0.6258308776855468,,0.6258910236047189,0.025,0.024968218417920185
0.07,1350,0.6454822326660155,,0.645482711811684,0.025,0.024999753067755037
0.07,1375,0.6646453552246094,,0.6646502904575219,0.025,0.02499751749443979
0.07,1385,0.6722129577636718,,0.6722026923908153,0.025,0.02500511626404689
0.07,1400,0.6834423034667968,,0.6834119707613808,0.025,0.025014914915416075
0.07,1425,0.7017510192871093,,0.7017847566992765,0.025,0.024983778731368866
0.07,1450,0.7198156188964842,0.7197842411837095,0.7197845571242638,0.025,0.025014632977545637
0.07,1475,0.7373919860839844,0.7374260111440365,0.7374262840879532,0.025,0.02498416990446789
0.07,1500,0.7547242370605467,0.7547236966031408,0.7547239395140803,0.025,0.025000134764589454
0.07,1525,0.8134341857910157,0.813461208163952,0.8134613437124407,0.05,0.04997898596829986
0.07,1550,0.8308884948730468,0.8308404151370657,0.8308405397708999,0.05,0.0500364934033356
0.07,1575,0.8478545715332031,0.8478961634937765,0.8478962505823308,0.05,0.04996881646040496
0.07,1600,0.8207576721191405,0.8207259730078259,0.8207261008280302,0.025,0.025013348019541803
0.07,1650,0.8972881042480467,0.8972368749246302,0.8972369369581342,0.05,0.050036591891434945
0.07,1700,0.9286570373535157,0.9287126441808833,0.9287126653776023,0.05,0.04996133270525893
